id,name,sex,role,year,birth,type,prize,education,location
albs,Albrecht Schuch,2,1,2020,1985,1,1,2,NA
webu,Welket Bungué,2,1,2020,1988,1,NA,2,NA
jabu,Jan Bülow,2,1,2020,1996,1,NA,2,NA
heze,Helena Zengel,1,1,2020,2008,1,1,3,NA
anra,Anne Ratte-Polle,1,1,2020,1974,1,NA,1,NA
alse,Alina Serban,1,1,2020,1987,1,NA,2,NA
gama,Gabriela Maria Schmeide,1,2,2020,1965,1,1,2,NA
jeha,Jella Haase,1,2,2020,1992,1,NA,2,NA
liha,Lisa Hagmeister,1,2,2020,1979,1,NA,2,NA
gogi,godehard giese,2,2,2020,1972,1,NA,2,NA
paal,Pasquale Aleardi,2,2,2020,1971,1,NA,2,NA
system,Systemsprenger,NA,NA,2020,NA,3,1,NA,NA
wort,Es gilt das gesprochene Wort,NA,NA,2020,NA,3,3,NA,NA
gipsy,Gipsy Queen,NA,NA,2020,NA,3,NA,NA,NA
berlin,Berlin Alexanderplatz,NA,NA,2020,NA,3,2,NA,NA
linden,Lindenberg! Mach dein Ding,NA,NA,2020,NA,3,NA,NA,NA
newyork,Ich war noch niemals in New York,NA,NA,2020,NA,3,NA,NA,NA
above,Above the Line GmbH,NA,NA,NA,NA,2,NA,NA,München
players,Agentur Players,NA,NA,NA,NA,2,NA,NA,Berlin
crush,CRUSH agency,NA,NA,NA,NA,2,NA,NA,Berlin
lambsdorff,Agentur Lambsdorff,NA,NA,NA,NA,2,NA,NA,München
subtitle,Subtitle Talent,NA,NA,NA,NA,2,NA,NA,London
lux,Lux Talents,NA,NA,NA,NA,2,NA,NA,Berlin
lastrada,lastrada.doells,NA,NA,NA,NA,2,,NA,Berlin
schneider,Agentur Schneider,NA,NA,NA,NA,2,NA,NA,Berlin
